Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"Verify when the user clicks on 'View' option, the user is able to view posts, tags and category as per choice.",RE-30,10029,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 16:14,9/8/2021 10:14,9/6/2021 16:14,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-29,,,,,,,,{},,,,,,,0|i0001q:zzr,,RE Sprint 1,,,,,,,,Done
"As a user I should be able to use the view functionality so that I can view posts, tags and category which redirects to the corresponding view page.",RE-29,10028,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 16:11,9/8/2021 10:14,9/8/2021 9:24,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zzv,,RE Sprint 1,,,,,,,,Done
"Verify when the user clicks on quick edit option ,the user is able to edit name and slug of that tag and not the entire description. ",RE-28,10027,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 16:00,9/8/2021 10:14,9/6/2021 16:00,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-26,,,,,,,,{},,,,,,,0|i0001q:zzi,,RE Sprint 1,,,,,,,,Done
"Verify when the user clicks on edit option ,the user is able to edit name, slug and description of that tag. ",RE-27,10026,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 15:45,9/8/2021 10:14,9/6/2021 15:45,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-26,,,,,,,,{},,,,,,,0|i0001q:zz,,RE Sprint 1,,,,,,,,Done
As a user  I should be able change/modify any tags under the tag section of 'Posts' field.,RE-26,10025,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 15:42,9/8/2021 10:14,9/8/2021 9:23,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zy,,RE Sprint 1,,,,,,,,Done
"Verify when the user clicks on quick edit option ,the user is able to edit name and slug of that category and not the entire description. ",RE-25,10024,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 15:31,9/8/2021 10:14,9/6/2021 15:32,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-23,,,,,,,,{},,,,,,,0|i0001q:zx,,RE Sprint 1,,,,,,,,Done
"Verify when the user clicks on edit option ,the user is able to edit name, slug, parent category and description of that category. ",RE-24,10023,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 15:23,9/8/2021 10:13,9/6/2021 15:23,9/8/2021 10:13,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-23,,,,,,,,{},,,,,,,0|i0001q:zt,,RE Sprint 1,,,,,,,,Done
As a user I should be able to change/modify category of a post under the 'Category' section of 'Posts' field,RE-23,10022,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 15:17,9/8/2021 10:14,9/8/2021 9:22,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zv,,RE Sprint 1,,,,,,,,Done
"Verify whether Quick Edit functionality is able to modify date, category, title and all other functionalities available there.",RE-22,10021,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 15:07,9/8/2021 10:13,9/6/2021 15:07,9/8/2021 10:13,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-18,,,,,,,,{},,,,,,,0|i0001q:zr,,RE Sprint 1,,,,,,,,Done
Verify whether the user is able to add media/upload file to edit post section.,RE-21,10020,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 14:38,9/8/2021 10:13,9/6/2021 14:38,9/8/2021 10:13,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-18,,,,,,,,{},,,,,,,0|i0001q:zi,,RE Sprint 1,,,,,,,,Done
Verify whether all the functionality under 'Edit' option is working or not,RE-20,10019,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 14:30,9/8/2021 10:13,9/6/2021 14:37,9/8/2021 10:13,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-18,,,,,,,,{},,,,,,,0|i0001q:z,,RE Sprint 1,,,,,,,,Done
"Verify when the user clicks on edit option ,the user is able to edit the name & add/update any description related to that post. ",RE-19,10018,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 14:19,9/8/2021 10:13,9/6/2021 14:20,9/8/2021 10:13,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-18,,,,,,,,{},,,,,,,0|i0001q:y,,RE Sprint 1,,,,,,,,Done
As a user I should  be able to modify posts under 'All Posts' section in 'Posts' fields.,RE-18,10017,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 14:15,9/8/2021 10:13,9/8/2021 9:21,9/8/2021 10:13,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:x,,RE Sprint 1,,,,,,,,Done
"Verify when the user will serach for any string related to posts,tags or categories , all the related results for that string along will be displayed.",RE-17,10016,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 11:15,9/8/2021 10:12,9/7/2021 10:51,9/8/2021 10:12,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-16,,,,,,,,{},,,,,,,0|i0001q:v,,RE Sprint 1,,,,,,,,Done
"As a user I should be able to perform search functionality for searching any posts,categories and new tags.",RE-16,10015,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 11:11,9/8/2021 10:12,9/8/2021 9:20,9/8/2021 10:12,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:r,,RE Sprint 1,,,,,,,,Done
"Verify when the user selects a particular date and category both and applies filter,the user can get access to all posts under that search.",RE-15,10014,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 11:03,9/8/2021 10:12,9/9/2021 10:30,9/8/2021 10:12,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i0001q:i,,RE Sprint 1,,,,,,,,Done
"Verify when the user selects a particular category and applies filter,the user can get access to all posts under that category.",RE-14,10013,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 10:56,9/8/2021 10:12,9/9/2021 10:30,9/8/2021 10:12,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i0001q:,,RE Sprint 1,,,,,,,,Done
"Verify when the user selects a particular date and applies filter,the user can get access to all posts under that date.",RE-13,10012,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 10:42,9/8/2021 10:12,9/9/2021 10:30,9/8/2021 10:12,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i0001p:,,RE Sprint 1,,,,,,,,Done
Verify whether 'All Dates' & 'All Category' dropdown are accessible or not.,RE-12,10011,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 10:16,9/8/2021 10:11,9/9/2021 10:30,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-11,,,,,,,,{},,,,,,,0|i0001n:,,RE Sprint 1,,,,,,,,Done
As a user I should be able to perform filter functionality in 'All Post' field for the Posts section,RE-11,10010,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 10:14,9/8/2021 10:19,9/8/2021 9:20,9/8/2021 10:19,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001r:,,RE Sprint 1,,,,,,,,Done
"Verify whether the user can perform bulk 'Edit' functionality which edits more than one post as per categories,tags,comments,author and status.",RE-10,10009,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 10:02,9/8/2021 10:11,9/9/2021 10:30,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0001f:,,RE Sprint 1,,,,,,,,Done
Verify whether the user can perform bulk 'Move to Trash' functionality which deletes more than one posts at a time.,RE-9,10008,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 9:50,9/8/2021 10:11,9/9/2021 10:30,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0001j:,,RE Sprint 1,,,,,,,,Done
Verify whether the user can perform bulk action functionality for Null selection,RE-8,10007,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/3/2021 9:38,9/8/2021 10:11,9/9/2021 10:30,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i00017:,,RE Sprint 1,,,,,,,,Done
"verify whether the user by clicking on bulk functionality is able to access multiple checkbox options for all post, new tags and new category fields.",RE-7,10006,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/3/2021 9:01,9/8/2021 10:11,9/9/2021 10:30,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-6,,,,,,,,{},,,,,,,0|i0001b:,,RE Sprint 1,,,,,,,,Done
"As a user I should be able to use the Bulk functionality in posts section for all post,categories and tag fields.",RE-6,10005,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/2/2021 15:22,9/8/2021 10:11,9/8/2021 9:19,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00013:,,RE Sprint 1,,,,,,,,Done
Verify whether the user on clicking add new tag is able to create new tags.,RE-5,10004,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/2/2021 14:49,9/8/2021 10:11,9/9/2021 10:30,9/8/2021 10:11,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-2,,,,,,,,{},,,,,,,0|i0000v:,,RE Sprint 1,,,,,,,,Done
Verify whether the user on clicking add new category is able to create new categories.,RE-4,10003,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/2/2021 14:32,9/8/2021 10:10,9/8/2021 9:47,9/8/2021 10:10,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-2,,,,,,,,{},,,,,,,0|i0000n:,,RE Sprint 1,,,,,,,,Done
Verify whether the add post functionality takes image or alphanumeric characters or both,RE-3,10002,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/2/2021 14:15,9/8/2021 10:10,9/9/2021 10:30,9/8/2021 10:10,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-2,,,,,,,,{},,,,,,,0|i0000f:,,RE Sprint 1,,,,,,,,Done
"As an user I should be able to create new post,add new tags and add new categories. ",RE-2,10001,Story,Blocked,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/2/2021 14:11,9/8/2021 16:43,9/8/2021 15:44,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-60,,,,,,,,{},,RE-1,,,,,0|i00007:,,RE Sprint 1,,,,,,,,In Progress
POSTS,RE-1,10000,Epic,In Progress,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/2/2021 12:39,9/8/2021 12:50,9/8/2021 15:58,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},ghx-label-6,,POSTS,To Do,,,0|hzzzzz:,,RE Sprint 1,,,,,,,,In Progress
